"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: fillByte","Param: preparation","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.9999","sample",1,1,11408.000000,NaN,"ns/op",1024,1,17,none,1024
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p1.00","sample",1,1,165120.000000,NaN,"ns/op",1024,1,17,none,1024
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment","sample",1,4465188,126.712324,1.232956,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,125.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.90","sample",1,1,166.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.95","sample",1,1,167.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.99","sample",1,1,250.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.999","sample",1,1,1332.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.9999","sample",1,1,13616.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p1.00","sample",1,1,1527808.000000,NaN,"ns/op",1024,1,17,none,4096
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment","sample",1,3158098,201.011481,0.593744,"ns/op",1024,1,17,none,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.00","sample",1,1,41.000000,NaN,"ns/op",1024,1,17,none,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.50","sample",1,1,167.000000,NaN,"ns/op",1024,1,17,none,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.90","sample",1,1,250.000000,NaN,"ns/op",1024,1,17,none,8192
"com.evolvedbinary.jnibench.jmhbench.PutFFMBenchmark.putFromMemorySegment:putFromMemorySegment·p0.95","sample",1,1,292.000000,NaN,"ns/op",1024,1,17,none,8192
