"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,102.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,111.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,115.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,144.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,3334.796000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11072.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,123008.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,4429859,141.996538,0.885066,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,105.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,132.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,139.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,143.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,162.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,2616.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11088.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,1004544.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,4112698,489.336902,5.279997,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,325.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,469.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,499.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,509.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,712.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,9568.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11632.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,4571136.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,3294516,1239.620428,4.592564,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,1028.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,1192.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,1226.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,1258.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,2628.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,11712.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,13130.318400,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,3076096.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,3406583,2352.229199,5.052146,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,2140.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,2300.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,2356.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,2420.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,3924.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,12992.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,15440.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,4874240.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,2890090,135.117767,0.777505,"ns/op",1024,1,copyout,10
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,94.000000,NaN,"ns/op",1024,1,copyout,10
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,119.000000,NaN,"ns/op",1024,1,copyout,10
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,132.000000,NaN,"ns/op",1024,1,copyout,10
