"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,416.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,875.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,1666.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,1666.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,1792.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,8624.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,22167.110400,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,296448.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,691582,3683.907921,20.773424,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,2080.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,2832.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,5536.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,5536.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,5872.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,17997.344000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,48649.638400,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,3416064.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,573440,177.992927,2.162028,"ns/op",1024,1,copyout,50
