"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,680.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,906.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,987.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,1008.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,2368.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,8817.152000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,12996.915200,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,1020928.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,675321,4669.856024,21.247894,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,4368.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,4616.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,4720.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,4920.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,6568.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,15642.848000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,21885.939200,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,4308992.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,535631,223.558816,1.679727,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,179.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,208.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,224.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,230.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,244.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,3826.944000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11360.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,99712.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,878412,252.012089,1.057158,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,216.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,237.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,255.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,265.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,379.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,3016.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11250.539200,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,99072.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,863404,446.794715,12.869523,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,328.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,413.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,435.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,442.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,1732.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,4224.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11776.000000,NaN,"ns/op",1024,1,copyout,4096
